Sigla;Nome;Tipo;UF;Cidade
DIREX/PF;Diretoria-Geral / Diretoria Executiva;Unidade Central;DF;Brasília
DICOR/PF;Diretoria de Investigação e Combate ao Crime Organizado e à Corrupção;Unidade Central;DF;Brasília
DGP/PF;Diretoria de Gestão de Pessoas;Unidade Central;DF;Brasília
DLOG/PF;Diretoria de Administração e Logística Policial;Unidade Central;DF;Brasília
DINT/PF;Diretoria de Inteligência Policial;Unidade Central;DF;Brasília
DTI/PF;Diretoria de Tecnologia da Informação e Inovação;Unidade Central;DF;Brasília
DAMAZ/PF;Diretoria da Amazônia e Meio Ambiente;Unidade Central;DF;Brasília
DCIBER/PF;Diretoria de Combate a Crimes Cibernéticos;Unidade Central;DF;Brasília
COGER/PF;Corregedoria-Geral de Polícia Federal;Unidade Central;DF;Brasília
ANP/PF;Academia Nacional de Polícia;Unidade Central;DF;Brasília
INI/PF;Instituto Nacional de Identificação;Unidade Central;DF;Brasília
INC/PF;Instituto Nacional de Criminalística;Unidade Central;DF;Brasília
COT/PF;Comando de Operações Táticas;Unidade Central;DF;Brasília
CAOP/PF;Coordenação de Aviação Operacional;Unidade Central;DF;Brasília
SR/PF/AC;Superintendência Regional no Acre;Superintendência Regional;AC;Rio Branco
SR/PF/AL;Superintendência Regional em Alagoas;Superintendência Regional;AL;Maceió
SR/PF/AM;Superintendência Regional no Amazonas;Superintendência Regional;AM;Manaus
SR/PF/AP;Superintendência Regional no Amapá;Superintendência Regional;AP;Macapá
SR/PF/BA;Superintendência Regional na Bahia;Superintendência Regional;BA;Salvador
SR/PF/CE;Superintendência Regional no Ceará;Superintendência Regional;CE;Fortaleza
SR/PF/DF;Superintendência Regional no Distrito Federal;Superintendência Regional;DF;Brasília
SR/PF/ES;Superintendência Regional no Espírito Santo;Superintendência Regional;ES;Vitória
SR/PF/GO;Superintendência Regional em Goiás;Superintendência Regional;GO;Goiânia
SR/PF/MA;Superintendência Regional no Maranhão;Superintendência Regional;MA;São Luís
SR/PF/MG;Superintendência Regional em Minas Gerais;Superintendência Regional;MG;Belo Horizonte
SR/PF/MS;Superintendência Regional em Mato Grosso do Sul;Superintendência Regional;MS;Campo Grande
SR/PF/MT;Superintendência Regional em Mato Grosso;Superintendência Regional;MT;Cuiabá
SR/PF/PA;Superintendência Regional no Pará;Superintendência Regional;PA;Belém
SR/PF/PB;Superintendência Regional na Paraíba;Superintendência Regional;PB;João Pessoa
SR/PF/PE;Superintendência Regional em Pernambuco;Superintendência Regional;PE;Recife
